"POINT_X","POINT_Y"
"-122.71997833251953","38.111957550048828"
"-122.52405548095703","37.971763610839844"
"-122.52442169189453","37.881172180175781"
"-122.69430541992188","37.933406829833984"
"-122.80863952636719","38.080177307128906"
"-122.97383880615234","38.0478515625"
"-122.66334533691406","38.014503479003906"
"-122.70351409912109","37.938430786132812"
"-122.567138671875","38.085289001464844"
"-122.4759521484375","37.942317962646484"
"-122.58283233642578","37.986663818359375"
"-122.58805847167969","38.171981811523438"
"-122.62391662597656","37.893627166748047"
"-122.63449096679688","37.893165588378906"
"-122.52690124511719","37.880733489990234"
"-122.56562805175781","38.148120880126953"
"-122.50037384033203","37.858970642089844"
"-122.60493469238281","37.877471923828125"
"-122.72454833984375","38.181907653808594"
"-122.70567321777344","38.142559051513672"
"-122.51376342773438","37.925159454345703"
"-122.53243255615234","37.972557067871094"
"-122.50334930419922","37.965644836425781"
"-122.54408264160156","37.907039642333984"
"-122.92268371582031","38.219978332519531"
"-122.81609344482422","38.255649566650391"
"-122.51246643066406","37.912445068359375"
"-122.51559448242188","37.96588134765625"
"-122.55699920654297","38.026031494140625"
"-122.62384033203125","37.894096374511719"
"-122.52124786376953","37.973926544189453"
"-122.92335510253906","38.218074798583984"
"-122.58223724365234","38.168056488037109"
"-122.88772583007812","38.151332855224609"
"-122.49733734130859","37.952480316162109"
"-122.5263671875","37.900577545166016"
"-122.69055938720703","37.932624816894531"
"-122.682373046875","38.162673950195312"
"-122.84000396728516","38.105457305908203"
"-122.52657318115234","37.900775909423828"
"-122.60488128662109","37.90325927734375"
"-122.91149139404297","38.184528350830078"
"-122.56487274169922","37.867534637451172"
"-122.54093933105469","37.943325042724609"
"-122.56883239746094","37.982276916503906"
"-122.51418304443359","37.908222198486328"
"-122.54534149169922","38.081340789794922"
"-122.59746551513672","37.979804992675781"
"-122.66902160644531","38.121170043945312"
"-122.92227172851562","38.205356597900391"
"-122.53323364257812","38.019660949707031"
